issue,game,platform,reviewer,year,month,average_score,scores
6,Captain Cosmic,NES,Steve Harris 4 Ed Semrad 4 Martin Alessi 4 Jim Stockhausen 4,1990,1,4,"[4.0, 4.0, 4.0, 4.0]"
6,Dead Angle,Sega Master System,Steve Harris 6 Ed Semrad 5 Martin Alessi 6 Jim Stockhausen 6,1990,1,5.75,"[6.0, 5.0, 6.0, 6.0]"
6,Dragon Spirit,TurboGrafx-16,Steve Harris 7 Ed Semrad 6 Martin Alessi 7 Jim Stockhausen 7,1990,1,6.75,"[7.0, 6.0, 7.0, 7.0]"
6,DuckTales,NES,Steve Harris 8 Ed Semrad 9 Martin Alessi 8 Jim Stockhausen 7,1990,1,8,"[8.0, 9.0, 8.0, 7.0]"
6,Forgotten Worlds,Genesis,Steve Harris 8 Ed Semrad 8 Martin Alessi 8 Jim Stockhausen 8,1990,1,8,"[8.0, 8.0, 8.0, 8.0]"
6,Galaga ’90,TurboGrafx-16,Steve Harris 8 Ed Semrad 5 Martin Alessi 7 Jim Stockhausen 7,1990,1,6.75,"[8.0, 5.0, 7.0, 7.0]"
6,Godzilla,NES,Steve Harris 5 Ed Semrad 5 Martin Alessi 6 Jim Stockhausen 4,1990,1,5,"[5.0, 5.0, 6.0, 4.0]"
6,Motocross Maniacs,Game Boy,Steve Harris 7 Ed Semrad 8 Martin Alessi 8 Jim Stockhausen 7,1990,1,7.5,"[7.0, 8.0, 8.0, 7.0]"
6,Rambo III,Genesis,Steve Harris 7 Ed Semrad 6 Martin Alessi 7 Jim Stockhausen 6,1990,1,6.5,"[7.0, 6.0, 7.0, 6.0]"
6,Revenge of the ‘Gator,Game Boy,Steve Harris 6 Ed Semrad 6 Martin Alessi 7 Jim Stockhausen 6,1990,1,6.25,"[6.0, 6.0, 7.0, 6.0]"
6,Rolling Thunder,NES,Steve Harris 8 Ed Semrad 7 Martin Alessi 6 Jim Stockhausen 8,1990,1,7.25,"[8.0, 7.0, 6.0, 8.0]"
6,Scramble Spirits,Sega Master System,Steve Harris 3 Ed Semrad 4 Martin Alessi 5 Jim Stockhausen 4,1990,1,4,"[3.0, 4.0, 5.0, 4.0]"
6,Silkworm,NES,Steve Harris 7 Ed Semrad 5 Martin Alessi 7 Jim Stockhausen 6,1990,1,6.25,"[7.0, 5.0, 7.0, 6.0]"
6,The Magic of Scheherazade,NES,Steve Harris 5 Ed Semrad 6 Martin Alessi 6 Jim Stockhausen 5,1990,1,5.5,"[5.0, 6.0, 6.0, 5.0]"
8,720°,NES,Steve Harris 3 Ed Semrad 4 Martin Alessi 4 Jim Stockhausen 3,1990,3,3.5,"[3.0, 4.0, 4.0, 3.0]"
8,8-Eyes,NES,Steve Harris 6 Ed Semrad 6 Martin Alessi 5 Jim Stockhausen 6,1990,3,5.75,"[6.0, 6.0, 5.0, 6.0]"
8,A Boy and His Blob,NES,Steve Harris 5 Ed Semrad 6 Martin Alessi 5 Jim Stockhausen 6,1990,3,5.5,"[5.0, 6.0, 5.0, 6.0]"
8,Castlevania: The Adventure,Game Boy,Steve Harris 8 Ed Semrad 8 Martin Alessi 8 Jim Stockhausen 7,1990,3,7.75,"[8.0, 8.0, 8.0, 7.0]"
8,Deep Blue,TurboGrafx-16,Steve Harris 4 Ed Semrad 4 Martin Alessi 4 Jim Stockhausen 3,1990,3,3.75,"[4.0, 4.0, 4.0, 3.0]"
8,Double Dragon II: The Revenge (1989),NES,Steve Harris 7 Ed Semrad 9 Martin Alessi 8 Jim Stockhausen 8,1990,3,8,"[7.0, 9.0, 8.0, 8.0]"
8,Dynamite Dux,Sega Master System,Steve Harris 3 Ed Semrad 3 Martin Alessi 4 Jim Stockhausen 3,1990,3,3.25,"[3.0, 3.0, 4.0, 3.0]"
8,Golden Axe,Sega Master System,Steve Harris 8 Ed Semrad 8 Martin Alessi 7 Jim Stockhausen 8,1990,3,7.75,"[8.0, 8.0, 7.0, 8.0]"
8,Golden Axe,Genesis,Steve Harris 7 Ed Semrad 7 Martin Alessi 8 Jim Stockhausen 7,1990,3,7.25,"[7.0, 7.0, 8.0, 7.0]"
8,Military Madness,TurboGrafx-16,Steve Harris 9 Ed Semrad 8 Martin Alessi 7 Jim Stockhausen 7,1990,3,7.75,"[9.0, 8.0, 7.0, 7.0]"
8,Ordyne,TurboGrafx-16,Steve Harris 4 Ed Semrad 4 Martin Alessi 7 Jim Stockhausen 3,1990,3,4.5,"[4.0, 4.0, 7.0, 3.0]"
8,RoadBlasters,NES,Steve Harris 8 Ed Semrad 7 Martin Alessi 7 Jim Stockhausen 7,1990,3,7.25,"[8.0, 7.0, 7.0, 7.0]"
8,Shanghai,Game Boy,Steve Harris 6 Ed Semrad 3 Martin Alessi 6 Jim Stockhausen 5,1990,3,5,"[6.0, 3.0, 6.0, 5.0]"
8,Space Harrier,TurboGrafx-16,Steve Harris 7 Ed Semrad 5 Martin Alessi 6 Jim Stockhausen 5,1990,3,5.75,"[7.0, 5.0, 6.0, 5.0]"
8,The Revenge of Shinobi,Genesis,Steve Harris 8 Ed Semrad 8 Martin Alessi 9 Jim Stockhausen 9,1990,3,8.5,"[8.0, 8.0, 9.0, 9.0]"
8,Truxton,Genesis,Steve Harris 6 Ed Semrad 7 Martin Alessi 7 Jim Stockhausen 5,1990,3,6.25,"[6.0, 7.0, 7.0, 5.0]"
8,Zoom,Genesis,Steve Harris 3 Ed Semrad 3 Martin Alessi 4 Jim Stockhausen 3,1990,3,3.25,"[3.0, 3.0, 4.0, 3.0]"
9,Adventures of Lolo 2,NES,Steve Harris 7 Ed Semrad 8 Martin Alessi 6 Jim Stockhausen 6,1990,4,6.75,"[7.0, 8.0, 6.0, 6.0]"
9,Astyanax,NES,Steve Harris 5 Ed Semrad 4 Martin Alessi 5 Jim Stockhausen 5,1990,4,4.75,"[5.0, 4.0, 5.0, 5.0]"
9,Baseball Simulator 1.000,NES,Steve Harris 7 Ed Semrad 6 Martin Alessi 7 Jim Stockhausen 7,1990,4,6.75,"[7.0, 6.0, 7.0, 7.0]"
9,Bases Loaded II: Second Season,NES,Steve Harris 7 Ed Semrad 7 Martin Alessi 5 Jim Stockhausen 5,1990,4,6,"[7.0, 7.0, 5.0, 5.0]"
