id,title,body,day,year,month
1,COPYRIGHT 1999 XINHUA NEWS AGENCY,"  A SURVEY RELEASED THURSDAY BY DELL COMPUTER CORP. SAID MORE AND MORE AMERICANS ARE GOING ONLINE THIS YEAR TO SEND HOLIDAY GREETINGS TO THEIR FRIENDS AND RELATIVES. ACCORDING TO DELL'S TECHKNOW GENERATION 2000 SURVEY BASED ON INTERVIEWS OF 1,001 RANDOM COMPUTER USERS, 61 PERCENT SAID THEY HAVE A FAMILY WEB SITE OR ARE INTERESTED IN CREATING ONE. ""IT'S VERY POPULAR,"" SAID MARK FELDMAN, A SENIOR PRODUCER AT YAHOO GEOCITIES, ONE OF THE BIGGEST SITES OFFERING FREE SPACE FOR PERSONAL WEB PAGES. ""KIDS ARE ALL ONLINE. THEY'RE ONLINE AT SCHOOL, THEY'RE ONLINE EVERYWHERE. SOMETHING LIKE HOMEPAGES FOR THE HOLIDAYS ARE GIVING PARENTS AN OPPORTUNITY TO BE ONLINE WITH THE KIDS,"" FELDMAN ADDED. INTERNET EXPERTS SAY DESIGNING FAMILY HOMEPAGES FOR SPECIFIC OCCASIONS IS A GROWING TREND IN THE unitedstates AS MORE HOUSEHOLDS GET CONNECTED AND WEB DESIGN GETS SIMPLER. IT'S NO LONGER NECESSARY TO TYPE IN COMPLICATED CODES OR LEARN COMPUTER LANGUAGES. USERS CAN BUY WEB DESIGN SOFTWARE OR USE ONE OF SEVERAL ONLINE SERVICES THAT OFFER FREE SPACE AND PROGRAMS. INTERNET COMPANIES ARE TAKING ADVANTAGE OF THE TREND. ""WE'RE TRYING TO MAKE IT EASIER FOR THEM TO DO ONLINE,"" SAID FELDMAN. DELL AND HOMESTEAD. CO., ANOTHER PERSONAL WEB PAGE SITE, OFFERED 2,000 DOLLARS  TOWARD A NEW COMPUTER TO THE OWNER OF THE MOST CREATIVE FAMILY HOLIDAY PAGE. HUNDREDS HAVE ENTERED THE CONTEST. ""WE'RE MAKING SURE THAT CUSTOMERS CAN EASILY TAKE ADVANTAGE OF TECHNOLOGY,"" SAID JANET MOUNTAIN OF DELL'S CONSUMER PRODUCT DIVISION. ",24,1999,12
2,MEE122302HKE -- JORDAN LIBERALIZES OPENING OF INTERNET CAFES,"  THE JORDANIAN GOVERNMENT HAS LIBERALIZED THE PROCEDURE FOR OPENING INTERNET CAFES TO ENABLE A LARGER SEGMENT OF THE SOCIETY TO GET ACCESS TO THE INTERNET. JORDANIAN BUSINESSMEN WHO WANT TO OPEN INTERNET CAFES ARE NO LONGER REQUIRED TO GET SPECIAL LICENSES FROM THE PRESS AND PUBLICATIONS DEPARTMENT (PPD), THE SEMIOFFICIAL JORDAN TIMES REPORTED THURSDAY. PPD HEAD ABDULLAH ETMOUM SAID ANYONE WITH AN INTEREST IN OPENING AN INTERNET CAFE WILL NOW ONLY FOLLOW THE USUAL PROCEDURES FOR STARTING ANY OTHER BUSINESSES, SUCH AS A GROCERY OR BOOK STORE. IT USED TO TAKE A MONTH OR SO TO GET A LICENSE FROM THE PPD DUE TO THE LOW EFFICIENCY OF THE BUREAUCRATIC PROCEDURES. INTERNET CAFES HAVE MUSHROOMED FOR THE PAST FEW YEARS IN THE KINGDOM, THOUGH OFFICIALS CAN NOT PROVIDE AN EXACT NUMBER OF INTERNET CAFES AS NEW ONES ARE OPENED EVERY DAY. INDEPENDENT ESTIMATES PUT THE NUMBER OF COMPUTERS LINKED TO THE INTERNET IN THE COUNTRY AT MORE THAN 20,000, AND AUTHORITIES RECEIVED SOME 50 APPLICATIONS TO OPEN INTERNET CAFES EVERY MONTH. JORDAN, WITH A 4.7 MILLION POPULATION, IS ONE OF THE FEW ARAB COUNTRIES WHICH HAVE SHOWN ALMOST COMPLETE TOLERANCE TO THE INTERNET, AND VIRTUALLY ALL WEBSITES EMERGE UNCENSORED TO INTERNET CUSTOMERS OF THE KINGDOM. THE GOVERNMENT TOOK THE ACCESS TO THE INTERNET AS A MEANS OF GETTING THE NEW GENERATION ACQUAINTED WITH THE INFORMATION AGE AND AS PART OF ITS PREPARATIONS FOR EDUCATION IN THE 21 CENTURY. THE EDUCATION MINISTRY IS PLANNING TO PROVIDE 3,000 COMPUTERS TO 200 PUBLIC SCHOOLS IN AMMAN, AND ALL THESE COMPUTERS WILL BE CONNECTED TO THE INTERNET, OFFICIALS SAID. AN ADDITIONAL 75 SCHOOLS OUTSIDE THE CAPITAL ARE ALSO EXPECTED TO GET THE INTERNET SERVICE FROM NEXT YEAR. ",23,1999,12
3,COPYRIGHT 1999 XINHUA NEWS AGENCY,"  AS THE NEW MILLENNIUM'S DAY APPROACHES, MANY CHINESE PEOPLE INTEND TO SEND ELECTRONIC CARDS TO FRIENDS THROUGH THE INTERNET RATHER THAN TRADITIONAL PAPER CARDS. LI YI, A STAFF MEMBER AT A BEIJING-BASED COMPANY, HAS THE HABIT OF SURFING THE INTERNET, AND HE NOW HAS ONE MORE THING TO DO -- SEND ELECTRONIC CARDS TO HIS FRIENDS. HE SAID IT ONLY TAKES HIM ABOUT TWO MINUTES TO LOG-ON, CHOOSE A CARD, FILL OUT THE FORMS, SELECT PICTURES, AND SEND IT. IT WAS MUCH MORE TIME-CONSUMING TO MAIL PAPER CARDS YEARS AGO.  ""I SOMETIMES GOT FRUSTRATED BECAUSE THE CARDS AND ENVELOPS WOULD COST ME HALF A DAY,"" HE SAID. MA BINBIN, A DESIGNER AT THE ART STUDIO OF SOHU, ONE OF CHINA'S LARGEST SEARCH ENGINES (HTTP:// WWW.SOHU.COM), TOLD XINHUA THAT HIS COMPANY'S WEBSITE IS VISITED ABOUT SIX MILLION TIMES A DAY AND MORE THAN HALF OF THE VISITORS CLICK THE BUTTON FOR FREE ELECTRONIC CARDS ON THE WEB PAGE. MA SAID THAT BY THE END OF LATE JULY, ABOUT FOUR MILLION CHINESE PEOPLE HAD ACCESS TO THE INTERNET AND THAT HE BELIEVES THIS FIGURE HAS DOUBLED IN DECEMBER.  ""THE NUMBER WILL CONTINUE TO RISE AS THE GOVERNMENT HAS RECENTLY CUT THE FEES FOR INTERNET TIME, AND THE NEW MILLENNIUM IS COMING,"" HE ADDED. OFFICIAL STATISTICS SHOW THAT 4,000 PAPER CARDS USE THE WOOD OF A FULL-GROWN TREE, AND A TON OF PAPER PULP WILL USE 15 TO 16 TREES 10 METERS HIGH AND 20 CENTIMETERS IN DIAMETER. EXPERTS SAY, IT IS TOO MUCH FOR CHINA, A COUNTRY WITH A HUGE POPULATION OF MORE THAN 1.2 BILLION AND A TINY FORESTED AREA OF LESS THAN 14 PERCENT OF ITS TERRITORY.  THEY ADDED THAT THERE IS ALSO POLLUTION BROUGHT ABOUT BY THE CHEMICALS USED IN PAPER PRODUCTION. MA SAID, ""ELECTRONIC CARDS CAN NOT ONLY HELP PEOPLE SAY HELLO TO EACH OTHER VIA THE INTERNET, BUT ALSO SAVE TREES AND EVEN THE PLANET, SO MANY PEOPLE CALL THE ELECTRONIC CARD A 'GREEN CARD'."" ",22,1999,12
4,SMALLER U.S. COMPANIES LAG BEHIND BIG COUNTERPARTS IN E-COMMERCE EFFORTS,"  A NEW SURVEY RELEASED WEDNESDAY FOUND THAT 23 PERCENT OF ""MIDDLE MARKET"" COMPANIES IN THE unitedstates HAVE AN E-COMMERCE WEB SITE. THIS IS IN CONTRAST TO LARGE COMPANIES, 38 PERCENT OF WHICH HAVE AN E-COMMERCE WEB SITE, ACCORDING TO THE SURVEY CONDUCTED BY THE YANKEE GROUP, A GLOBAL INFORMATION SERVICES COMPANY THAT COLLECTS, INTEGRATES AND DELIVERS FINANCIAL, ECONOMIC AND MARKET RESEARCH INFORMATION. THE YANKEE GROUP DEFINES THE ""MIDDLE MARKET"" AS COMPANIES WITH MORE THAN 500 EMPLOYEES AND REVENUES BETWEEN 100 MILLION AND ONE BILLION unitedstates DOLLARS, AND IT ESTIMATES THERE ARE 12,000 TO 15,000 SUCH COMPANIES IN THE unitedstates. WHILE SOME OF THESE E-COMMERCE IMPLEMENTATIONS HAVE BEEN SUCCESSFUL, ACCORDING TO THE SURVEY, 45 PERCENT SMALLER COMPANIES SURVEYED REPORTED THAT THEIR E-COMMERCE EFFORTS HAVE BEEN UNSUCCESSFUL AND THEY NEED THIRD-PARTY HELP. THE PENETRATION OF BASIC TECHNOLOGIES SUCH AS LOCAL AND WIDE- AREA DATA NETWORK AMONG MIDDLE MARKET COMPANIES IS HIGH, WITH 80 PERCENT OF THEM REPORTING CLOSE TO FULL PENETRATION; BUT THEIR ADOPTION OF ADVANCED TECHNOLOGY IS NOT AS ENTHUSIASTIC. THE YANKEE GROUP SURVEYED 300 MIDDLE MARKET COMPANIES FOR ADOPTION, TRENDS PERCEPTIONS, BUDGETS AND BUYING BEHAVIOR IN E- BUSINESS, VOICE/DATA CONVERGENCE AND DATA NETWORK/E-COMMERCE OUTSOURCING. THESE TECHNOLOGY AREAS ARE REGARDED AS CORNERSTONES FOR FUTURE BUSINESS GROWTH AND COMPETITIVENESS. THESE COMPANIES HAVE BEEN SLOW TO ADOPT ADVANCED TECHNOLOGIES THAT LEVERAGE THE INTERNET AND VOICE/DATA CONVERGENCE, ACCORDING TO THE YANKEE GROUP. THEY ARE USING THE INTERNET AS A ""GETTING CONNECTED""TOOL. THE VAST MAJORITY OF COMPANIES REPORTED THAT GIVING EMPLOYEES INTERNET ACCESS AND USING THE INTERNET TO CONNECT REMOTE WORKERS TO THE CORPORATE NETWORK AS THEIR TOP TECHNOLOGY PROJECTS FOR 2000. ",22,1999,12
5,COPYRIGHT 1999 XINHUA NEWS AGENCY,"  ONLINE SECURITIES TRADING BY PRIVATE INVESTORS IN ASIA-PACIFIC MARKETS WILL ACCOUNT FOR AT LEAST 20 PERCENT OF ALL RETAIL EQUITY MARKET TRANSACTIONS IN THE REGION BY 2003, A unitedstates MARKET RESEARCH FIRM PREDICTED MONDAY. IN FACT, ACCORDING TO THE STUDY OF DATAQUEST, A SUBORDINATE OF THE WORLD'S PREMIER TECHNOLOGY ADVISOR GARTNERGROUP, 70 PERCENT OF RETAIL BROKERAGES HEADQUARTERED IN ASIA-PACIFIC WILL OFFER REAL- TIME ASIAN STOCK MARKET TRADING FACILITIES VIA SECURE WEB SITES BY 2002. THROUGH 2002, HOWEVER, LESS THAN 50 PERCENT OF BANKS BASED IN THE REGION WILL BE ABLE TO LEVERAGE THEIR INTERNET BANKING SYSTEMS TO SUCCEED IN CONSUMER ELECTRONIC COMMERCE SERVICES. FINANCIAL SERVICES ORGANIZATIONS IN THE REGION'S LEADING MARKETS WILL BE REQUIRED TO HANDLE UNPRECEDENTED RETAIL TRANSACTION VOLUMES OVER THE INTERNET IN THE NEXT FIVE YEARS, THE RESEARCH FIRM SAID. ACCORDING TO DATAQUEST, THE MARKETS OF JAPAN, SOUTH KOREA AND TAIWAN WILL BE HOME TO THE BULK OF WEB-BASED SECURITIES TRADERS AND ONLINE RETAIL BANKING CUSTOMERS FOR AT LEAST THE NEXT THREE YEARS. HOWEVER, THE EMERGING MARKETS IN THE REGION, INCLUDING INDIA AND MALAYSIA WILL CONTINUE TO FACE ONLINE SECURITIES TRADING AND PERSONAL E-BANKING OBSTACLES CAUSED BY REGULATORY HURDLES AND THE LACK OF AN INTERNET-CONCERNED INFRASTRUCTURE. BECAUSE OF THE SHEER DEMAND FOR SECURITIES TRADING OVER THE WEB, DATAQUEST SAID, MOST ASIAN BROKERS WILL SHIFT THEIR RETAIL BUSINESS TO THE INTERNET OVER THE NEXT FIVE YEARS. AS IN NORTH AMERICA, MANY BROKERAGE CUSTOMERS IN THE REGION MAY ABANDON TRADITIONAL BROKER INTERMEDIARIES WHEN THEY REALIZE THE POWER AND COMPETITIVE PRICING OF DIRECT GLOBAL MARKET ACCESS THROUGH INTERNET TRADING. ",21,1999,12
6,ONLINE TRAVEL SITES ATTRACT MILLIONS OF AMERICANS,"  ONLINE TRAVEL SITES HAVE ATTRACTED MILLIONS OF AMERICANS SINCE THE BEGINNING OF THIS YEAR'S HOLIDAY SEASON. ACCORDING TO A STUDY RELEASED FRIDAY BY PC DATA, A SERVICE TRACKING WEB USAGE INFORMATION AND BUYING PATTERNS, PRICELINE. COM EMERGED AS THE TOP SITE FOR unitedstates INTERNET USERS SHOPPING FOR INFORMATION ON THANKSGIVING HOLIDAY AIR TRAVEL, WITH 3.2 MILLION UNIQUE HOME VISITORS IN NOVEMBER. THIS TRANSLATED INTO A 71 PERCENT INCREASE OVER THE PREVIOUS MONTH'S FIGURES OF THE ONLINE SERVICE WHICH ALLOWS TRAVELERS TO BID ON AIRLINE AND HOTEL FARES. FOLLOWING PRICELINE WERE ONLINE TRAVEL SITES OF TRAVELOCITY AND EXPEDIA, WITH 2.8 MILLION AND 2.1 MILLION VISITORS RESPECTIVELY. OF THE AIRLINE-SPONSORED SITES, SOUTHWEST AIRLINES CAME FIRST WITH 1.5 MILLION USERS, FOLLOWED BY AMERICAN AIRLINES AND DELTA AIRLINES. THE STUDY ALSO REVEALED THAT MOST unitedstates HOME INTERNET USERS RESERVED THEIR HOLIDAY FLIGHTS THROUGH DIRECT CHANNELS AS OPPOSED TO TRAVEL AGENTS. THIRTY-TWO PERCENT BOOKED FLIGHTS ONLINE, WHILE 31 PERCENT BOOKED FLIGHTS BY TELEPHONE DIRECTLY THROUGH AN AIRLINE.  TWENTY PERCENT BOOKED THROUGH A TRAVEL AGENT. AIR TRAVELERS GO ONLINE, PC DATA SAID, BECAUSE THEY WANT INFORMATION, ESPECIALLY WANT TO KNOW THE SHORTEST, EASIEST AND LEAST EXPENSIVE PATH TO BOOK THEIR FLIGHTS. THE SUCCESS OF THE SOUTHWEST SITE HAS TO DO WITH A DESIGN THAT TRANSFERS THE COMPANY'S REPUTATION TO THE INTERNET, ACCORDING TO PC DATA. THE TRADITIONALLY LOW-COST AIRLINE FARED WELL IN THE STUDY BECAUSE ITS DIRECT CHANNEL PHILOSOPHY TRANSFERS EASILY TO THE INTERNET, ENABLING IT TO EXPAND ITS CONSUMER BASE AND CONTINUE TO KEEP ITS COSTS DOWN. PC DATA SURVEYED 4,100 HOME-BASED INTERNET USERS IN NOVEMBER.  SIXTY-EIGHT PERCENT OF THE USERS BETWEEN THE AGES OF 18 AND 34 BOOKED THEIR FLIGHTS ONLINE OR BY TELEPHONE DIRECTLY TO AN AIRLINE COMPARED WITH 56 PERCENT BETWEEN THE AGES OF 35 AND 65. ",18,1999,12
7,COPYRIGHT 1999 XINHUA NEWS AGENCY,"  NINE IN 10 AMERICAN HOMES WILL BE ONLINE IN FIVE YEARS, WHILE PERSONAL COMPUTERS WILL REMAIN THE DOMINANT INTERNET ACCESS TERMINAL, ACCORDING TO A STUDY RELEASED WEDNESDAY. MOST HOMES WILL USE A NUMBER OF NON-PC ONLINE APPLIANCES, BUT PC WON'T BE REPLACED, SAID THE STUDY OF STRATEGY ANALYTICS, A unitedstates  MARKET CONSULTING BUSINESS IN HIGH- TECHNOLOGY. BY 2005, ACCORDING TO THE STUDY, 91 PERCENT OF AMERICAN HOMES WILL BE ONLINE, 90 PERCENT OF THEM WILL BE USING AN INTERNET PC, 73 PERCENT WILL ALSO HAVE INTERACTIVE TV OR OTHER INTERNET APPLIANCES. ONLINE TV-BASED SET-TOP BOXES WILL BECOME COMMONPLACE IN AMERICAN HOMES. LIMITED DEMAND ALSO EXISTS FOR A RANGE OF NEW INTERNET TERMINALS THAT ARE INDEPENDENT OF THE PC OR TV, SUCH AS SCREEPHONES AND WEB TERMINALS. SALES OF SUCH DEVICES WILL REACH 600 MILLION unitedstates DOLLARS IN 2005. SALES OF INTERACTIVE TV APPLIANCES, SUCH AS ONLINE DIGITAL TV SET-TOP BOXES AND ADVANCED GAMES CONSOLES, WILL REACH 2.4 BILLION DOLLARS IN 2002. SALES WILL PEAK AT 4.8 BILLION DOLLARS IN 2003, BEFORE DECLINING TO 4.2 BILLION DOLLARS IN 2005 UNDER THE IMPACT OF FALLING PRICES. SHIPMENTS, HOWEVER, ARE EXPECTED TO REACH 7.4 MILLION UNITS IN 2000 AND 26.4 MILLION UNITS BY 2005. ON AVERAGE, A unitedstates ONLINE HOME WILL HAVE 2.7 ONLINE DEVICES BY 2005, ACCORDING TO THE STUDY. THIS REPRESENTS AN EMERGING OPPORTUNITY FOR INTERNET SERVICE PROVIDERS AND NETWORK OPERATORS. ACCORDING TO THE RESEARCH COMPANY YANKEE GROUP, APPROXIMATELY 650,000 unitedstates HOMES HAVE SOME FORM OF NETWORKING INSTALLED NOW, AND THE NUMBER IS EXPECTED TO GROW AT A COMPOUND ANNUAL GROWTH RATE OF 95 PERCENT OVER THE NEXT FOUR YEARS, WHEN IT WILL REACH 10 MILLION BY 2003. ",16,1999,12
8,WAL-MART REACHES DEAL WITH AOL TO BUILD INTERNET SHOPPING SITE,"  WAL-MART, THE unitedstates LARGEST RETAILER, REACHED A DEAL THURSDAY WITH AMERICA ON LINE, THE BIGGEST INTERNET PROVIDER TO CREATE A NEW INTERNET SHOPPING SITE IN AN EFFORT TO BOOST SALES. UNDER THE DEAL, THE TWO COMPANIES WILL CREATE A NEW ISP THAT WILL BE CO-BRANDED BY  WAL-MART AND AOL. WALL-MART WILL DISTRIBUTE AOL SOFTWARE IN ITS MORE THAN 2,900 unitedstates STORES WHILE AOL WILL PROMOTE WAL-MART'S REDESIGNED WEB SITE, WALMART.COM, IN THE SHOPPING AREA OF ITS SITE. IT IS THE LATEST DEAL BETWEEN A RETAIL CHAIN AND A BIT INTERNET COMPANY TO FORM A PARTNERSHIP IN A BID TO BOOST SALES AND BRAND AWARENESS AMONG SHOPPERS. THE KMART CORPORATION SAID WEDNESDAY THAT IT WAS TEAMING UP WITH THE INTERNET COMPANY YAHOO TO FORM A NEW COMPANY THAT WILL PROVIDE FREE ACCESS TO THE INTERNET AND A CO- BRANDED SHOPPING SITE CALLED BLUELIGHT.COM THROUGH SUCH DEAL, ANALYSTS SAID, ONLINE COMPANIES WILL GAIN A NEW AVENUE TO ADVERTISE THEIR WEB SITES AND EXPAND THEIR CUSTOM BASE WHILE RETAILERS WILL BUILD THEIR OWN INTERNET BUSINESSES WITH THE HELP OF INTERNET COMPANIES. IN THE LAST MONTH, MICROSOFT SIGNED A DEAL WITH THE TANDY CORPORATION TO PROMOTE ITS INTERNET SERVICE THROUGH TANDY'S RADIOSHARK STORES. AOL ALSO LINKED UP WITH THE ELECTRONIC RETAILER CIRCUIT CITY TO PROMOTE ITS WEB ACCESS SERVICE. ",16,1999,12
9,COPYRIGHT 1999 XINHUA NEWS AGENCY,"  A REPORT RELEASED TUESDAY PROJECTS THAT THE unitedstates WHOLESALE NETWORK SERVICES MARKET WILL GROW AT AN AVERAGE ANNUAL RATE OF 24 PERCENT IN THE NEXT FEW YEARS. THE MARKET, DRIVEN PRIMARILY BY INTERNET PROTOCOL (IP) RELATED WHOLESALE VOLUME, IS EXPECTED TO REACH 116 BILLION unitedstates DOLLARS IN REVENUE BY 2003, UP FROM 39 BILLION DOLLARS IN 1998, ACCORDING TO THE REPORT FROM RESEARCH AND CONSULTING FIRM PHILLIPS GROUP. THE REPORT SAID THREE KEY SECTORS ACCOUNT FOR INCREASES IN IP RELATED WHOLESALE VOLUMES. THE RAPID GROWTH OF WIRELESS WHOLESALE SERVICES, DRIVEN BY INTERNET ACCESS, WILL JUMP FROM 500 MILLION DOLLARS IN 1998 TO 5.5 BILLION DOLLARS IN 2003, EXPANDING 11 TIMES. THE SECOND BIGGEST IP WHOLESALE GROWTH RATE WILL BE AMONG NEW ENTRANTS TO THE INDUSTRY, KNOWN AS COMPETITIVE LOCAL EXCHANGE CARRIERS. THESE FIRMS POSTED TOTAL WHOLESALE REVENUES OF 250 MILLION DOLLARS IN 1998 AND IN FIVE YEARS, THEIR REVENUES ARE EXPECTED TO MULTIPLY 10-FOLD, TO 2.62 BILLION DOLLARS IN 2003. LASTLY, REVENUES OF PACKET/CELL-BASED NETWORK SERVICE PROVIDERS, WHICH INCLUDE THE DELIVERY OF IP TELEPHONY, WILL JUMP FROM 2 BILLION DOLLARS IN 1998 TO 20.4 BILLION DOLLARS IN 2003. THERE ARE THREE KEY DRIVERS IN THE unitedstates WHOLESALE NETWORK SERVICE MARKET, ACCORDING TO THE REPORT. THE INITIAL DRIVER IS THE IMPACT OF ONGOING DEREGULATION OF THE TELECOM ENVIRONMENT AND THE GROWTH IN COMPETITION THAT IT HAS GENERATED. THE SECOND DRIVER HAS BEEN THE RAPID ACCELERATION OF TELECOM TECHNOLOGIES, PARTICULARLY FIBER OPTIC TRANSMISSION AND SWITCHING CAPABILITIES THAT ARE RESULTING IN THE DOUBLING OF BANDWIDTH CAPABILITIES EVERY NINE MONTHS. THE THIRD DRIVER HAS BEEN THE IMPACT OF THE INTERNET ON THE DEMAND FOR BANDWIDTH AND THE TRANSFORMATION OF BANDWIDTH USAGE FROM CIRCUIT-SWITCHED VOICE TO IP PACKET NETWORKS. ",15,1999,12
10,COPYRIGHT 1999 XINHUA NEWS AGENCY,"  unitedstates STANFORD UNIVERSITY IS OPENING A NEW E-COMMERCE CENTER TO PROVIDE RESEARCH AND COURSES ON THE BOOMING INDUSTRY, ACCORDING TO A REPORT FROM THE UNIVERSITY MONDAY. STANFORD OFFICIALS SAID INTERNET GIANTS EBAY, SCHWAB AND GENERAL ATLANTIC ARE AMONG SEVERAL COMPANIES THAT HAVE PITCHED IN TO HELP STANFORD UNIVERSITY RAISE MORE THAN 20 MILLION DOLLARS TO FINANCE STUDIES OF THE INTERNET AND E-COMMERCE. STANFORD PLANS TO USE THE FUNDS TO BUILD THE CENTER FOR ELECTRONIC BUSINESS WITHIN THE UNIVERSITY'S GRADUATE SCHOOL OF BUSINESS, FUELED BY THE HIGH DEMAND FOR SKILLED HIGH-TECH LABOR IN THE unitedstates. ACCORDING TO A STATEMENT ISSUED BY STANFORD MONDAY, THE PROGRAM WILL OFFER COURSE STUDIES AND FOCUS ITS RESEARCH ON HOW INFORMATION AND COMMUNICATION AFFECT FIRMS, MARKETS AND INDUSTRIES. ROBERT JOSS, DEAN OF THE BUSINESS SCHOOL, SAID THE NEW CENTER WILL DEVELOP RESEARCH AND EDUCATION INITIATIVES NEEDED TO UNDERSTAND THE IMPACT OF INFORMATION AND COMMUNICATION TECHNOLOGIES ON FIRMS, INDUSTRIES AND MARKETS. JOSS SAID THE BUSINESS SCHOOL'S GOAL IS TO BE THE WORLDWIDE LEADER IN RESEARCH, CURRICULUM DEVELOPMENT AND THE DISSEMINATION OF IDEAS ABOUT CONDUCTING BUSINESS ELECTRONICALLY AND ABOUT ELECTRONIC COMMERCE. STANFORD'S PROGRAM COMES AT A TIME WHEN THE HIGH-TECH SECTOR IS IN GREAT NEED OF TALENT. THE INFORMATION TECHNOLOGY ASSOCIATION OF AMERICA (ITAA) ESTIMATES THAT THERE ARE CURRENTLY 346,000 UNFILLED HIGH-TECH JOBS IN THE unitedstates. IN ADDITION, THE INDUSTRY WILL NEED UP TO 1.3 MILLION NEW HIGHLY SKILLED EMPLOYEES BY 2006, ACCORDING TO THE unitedstates COMMERCE DEPARTMENT. TO MEET THIS DEMAND, CONGRESS ANNOUNCED IN OCTOBER THAT IT WAS CONSIDERING LEGISLATION TO ALLOW COMPANIES TO DRAW FOREIGN-BORN POSTGRADUATE STUDENTS TO FILL THE GAPS. A BREEDING GROUND FOR HIGH-TECH SUCCESS STORIES, PALO ALTO, CALIFORNIA-BASED STANFORD IS TRYING TO ENCOURAGE NET COMPANIES IN ITS BACKYARD TO BECOME MORE INVOLVED IN RESEARCH AND EDUCATION. STANFORD, SPAWNING GROUND FOR MANY SUCCESSFUL SILICON VALLEY BUSINESSES, BELIEVES THAT THROUGH INVESTING IN EDUCATION, THE WHOLE INDUSTRY WINS. ""THE SCHOOL WILL DISSEMINATE RESEARCH TO THE BUSINESS COMMUNITY THROUGH SEMINARS AND EDUCATIONAL PROGRAMS FOR EXECUTIVES,"" ACCORDING TO THE STATEMENT. AS PART OF THE NEW PROGRAM, STANFORD WILL OFFER A NEW E- COMMERCE COURSE AND EXECUTIVE TRAINING PROGRAM NEXT YEAR. THE CENTER WILL ALSO ACT AS A CLEARINGHOUSE AND LIBRARY FOR FACULTY RESEARCH AND STUDIES. ",14,1999,12
